monthly_income,dti_ratio,credit_history_years,education,region,gender,ethnicity,age_group,approved
4054.0,0.2037,6.4,Bachelors,North,Female,Group_A,Adult,0
3503.57,0.2457,10.1,High School,North,Male,Group_C,Adult,0
6673.09,0.4168,9.9,PhD,North,Female,Group_C,Senior,0
8229.66,0.4594,7.9,High School,North,Male,Group_A,Young,0
7829.39,0.7658,15.0,High School,West,Male,Group_A,Adult,0
3230.5,0.4297,8.0,Bachelors,Central,Female,Group_B,Adult,0
4210.74,0.2889,7.8,Masters,North,Female,Group_C,Young,0
5800.11,0.3658,7.2,Masters,West,Female,Group_A,Young,0
8004.61,0.2688,14.3,Bachelors,South,Female,Group_C,Adult,1
3867.69,0.6408,3.3,Bachelors,North,Female,Group_A,Senior,0
4479.07,0.2976,6.1,High School,Central,Female,Group_B,Adult,0
2826.61,0.0306,7.1,High School,Central,Male,Group_D,Adult,1
2702.4,0.3877,13.3,Masters,North,Male,Group_A,Adult,0
7378.04,0.1782,14.7,Masters,East,Non-Binary,Group_A,Senior,1
9682.93,0.1833,9.3,High School,East,Female,Group_D,Adult,1
4740.96,0.0706,14.7,High School,South,Male,Group_C,Adult,0
8117.41,0.5242,9.8,High School,Central,Female,Group_A,Adult,0
5888.86,0.4038,8.0,Bachelors,West,Female,Group_A,Young,0
3559.73,0.1325,8.4,PhD,North,Female,Group_A,Adult,1
5888.15,0.2678,7.8,High School,North,Male,Group_A,Adult,0
10604.34,0.4355,2.5,High School,East,Male,Group_C,Adult,0
4827.51,0.2371,13.6,Bachelors,North,Male,Group_B,Adult,0
10746.35,0.2667,5.4,High School,Central,Female,Group_B,Adult,1
1326.27,0.3365,11.3,Masters,Central,Male,Group_A,Young,0
7412.71,0.2179,5.0,Bachelors,West,Male,Group_B,Young,1
5133.4,0.3019,17.4,Masters,East,Male,Group_A,Adult,1
4232.28,0.4057,16.0,High School,Central,Male,Group_A,Adult,0
5145.51,0.2205,8.1,Masters,Central,Female,Group_A,Adult,1
1819.32,0.194,11.4,Masters,East,Female,Group_A,Senior,0
4403.54,0.297,6.3,Masters,East,Female,Group_D,Adult,0
5875.56,0.3818,5.3,No Degree,South,Male,Group_C,Adult,0
10290.2,0.4784,7.4,Masters,Central,Male,Group_B,Young,1
3792.82,0.5879,8.2,High School,West,Female,Group_A,Young,0
3280.51,0.4717,13.3,High School,North,Female,Group_A,Senior,0
3824.26,0.3906,9.6,High School,West,Female,Group_D,Young,0
7767.48,0.2956,9.3,High School,West,Male,Group_C,Adult,0
5792.83,0.3793,15.6,High School,North,Male,Group_B,Young,0
3771.09,0.3986,11.2,Bachelors,North,Male,Group_D,Young,0
6352.69,0.267,14.2,High School,East,Male,Group_A,Adult,1
5159.21,0.2368,5.9,Masters,East,Male,Group_A,Young,1
7977.04,0.4877,16.9,PhD,North,Male,Group_B,Adult,1
3459.83,0.365,6.1,Bachelors,East,Male,Group_A,Adult,0
4172.08,0.3436,12.9,Bachelors,Central,Male,Group_B,Senior,0
4039.78,0.4069,10.5,High School,North,Female,Group_A,Adult,0
2364.31,0.1005,2.3,PhD,North,Female,Group_A,Young,0
5699.08,0.1981,3.6,Masters,West,Male,Group_D,Adult,1
5600.03,0.1442,24.9,High School,West,Female,Group_A,Young,1
4927.35,0.4525,5.7,High School,West,Non-Binary,Group_A,Adult,0
4370.82,0.4067,4.8,Masters,South,Female,Group_C,Adult,0
2421.92,0.3898,12.5,No Degree,North,Female,Group_B,Young,0
3982.55,0.1857,10.6,High School,East,Female,Group_A,Young,0
4140.79,0.2978,9.6,Bachelors,South,Female,Group_C,Young,0
3290.72,0.3897,15.3,High School,East,Male,Group_A,Senior,1
4533.99,0.2982,8.7,High School,North,Male,Group_D,Adult,0
6015.08,0.0373,10.3,High School,East,Male,Group_B,Adult,1
12620.69,0.4889,6.6,Bachelors,East,Female,Group_B,Young,0
5363.05,0.1947,6.0,No Degree,North,Male,Group_A,Adult,1
5590.23,0.4443,15.0,High School,Central,Male,Group_A,Adult,1
4735.19,0.1479,9.7,Masters,Central,Female,Group_A,Adult,1
1882.99,0.2887,9.6,Bachelors,West,Female,Group_D,Young,0
4850.04,0.1906,15.1,Bachelors,North,Male,Group_A,Senior,0
5065.03,0.1962,5.3,Bachelors,South,Female,Group_C,Young,0
16841.83,0.1457,8.9,Bachelors,West,Male,Group_C,Adult,1
4464.08,0.1707,6.8,Masters,North,Female,Group_A,Adult,0
5714.57,0.1106,8.9,High School,East,Male,Group_A,Adult,1
4830.2,0.5617,5.7,High School,South,Male,Group_C,Young,0
2739.86,0.3742,5.8,Masters,East,Female,Group_A,Adult,0
8702.9,0.3186,13.9,High School,Central,Male,Group_A,Adult,1
7157.86,0.2142,5.9,PhD,East,Male,Group_A,Adult,1
7299.17,0.3271,16.6,Bachelors,Central,Female,Group_B,Senior,0
3119.12,0.1383,13.1,High School,Central,Male,Group_A,Adult,1
9910.97,0.2245,15.4,Masters,West,Female,Group_B,Adult,1
2438.34,0.0361,6.4,No Degree,West,Male,Group_B,Adult,0
6590.79,0.4655,18.9,High School,South,Male,Group_C,Adult,0
14694.49,0.1165,8.6,Bachelors,West,Male,Group_B,Senior,1
2995.1,0.4357,12.2,Bachelors,North,Female,Group_D,Adult,0
3702.82,0.4357,6.3,Bachelors,East,Female,Group_D,Young,0
5165.85,0.1246,7.5,Bachelors,South,Female,Group_C,Adult,1
3820.98,0.1532,15.3,No Degree,South,Non-Binary,Group_C,Senior,0
2263.5,0.2231,5.8,High School,East,Female,Group_D,Adult,0
5086.18,0.226,8.9,High School,North,Male,Group_A,Senior,0
2889.53,0.4249,11.1,Masters,East,Male,Group_B,Adult,0
6227.91,0.1839,8.4,Masters,South,Male,Group_C,Adult,1
3103.51,0.4264,11.8,High School,South,Male,Group_A,Adult,1
10667.61,0.0879,7.5,Masters,East,Non-Binary,Group_B,Senior,1
3322.17,0.1665,5.9,No Degree,Central,Female,Group_A,Young,0
4183.78,0.1789,6.5,Bachelors,North,Male,Group_A,Adult,0
7381.7,0.3303,8.6,Masters,West,Male,Group_A,Adult,1
2655.98,0.2114,8.2,High School,North,Female,Group_B,Adult,0
5506.75,0.3802,7.8,Bachelors,West,Male,Group_A,Adult,0
9448.12,0.0463,13.4,High School,South,Male,Group_C,Adult,0
2200.1,0.5924,6.2,High School,East,Female,Group_A,Adult,0
5390.09,0.4326,9.9,Bachelors,West,Female,Group_A,Adult,0
5596.75,0.2032,13.4,Bachelors,West,Male,Group_A,Adult,1
7265.64,0.2553,10.1,Bachelors,Central,Female,Group_B,Adult,1
2647.91,0.6954,21.0,Bachelors,North,Female,Group_B,Adult,0
2539.62,0.08,13.7,PhD,North,Non-Binary,Group_A,Adult,1
6380.3,0.5321,4.3,Bachelors,South,Female,Group_C,Senior,0
5701.54,0.3198,4.4,Bachelors,South,Male,Group_D,Adult,0
5570.54,0.3007,16.1,Masters,North,Female,Group_A,Adult,1
5844.31,0.2461,17.6,High School,West,Female,Group_B,Adult,1
3498.14,0.0852,7.5,High School,North,Female,Group_D,Adult,0
5519.97,0.4729,11.4,High School,North,Male,Group_B,Adult,0
5690.4,0.3893,8.9,Bachelors,East,Female,Group_D,Adult,1
3438.62,0.2182,15.0,Bachelors,West,Male,Group_B,Young,0
12492.54,0.1801,5.0,No Degree,Central,Female,Group_A,Young,0
6228.66,0.2861,6.6,No Degree,Central,Male,Group_A,Young,1
2709.04,0.4627,16.7,High School,South,Male,Group_C,Adult,0
6824.52,0.127,3.9,High School,Central,Female,Group_B,Adult,1
3018.93,0.1561,9.5,High School,East,Male,Group_B,Adult,0
7284.78,0.4723,6.0,Bachelors,North,Male,Group_B,Senior,0
8771.8,0.1128,6.4,Masters,East,Female,Group_D,Adult,1
3260.58,0.3257,7.9,Masters,Central,Male,Group_C,Young,0
7956.05,0.1247,12.1,High School,South,Male,Group_C,Adult,0
6041.4,0.3801,12.4,Bachelors,South,Male,Group_C,Adult,0
7413.29,0.0755,13.5,High School,Central,Female,Group_B,Senior,1
12687.8,0.5493,11.0,High School,South,Male,Group_A,Young,0
4347.28,0.0661,7.7,No Degree,South,Male,Group_C,Adult,0
3371.56,0.1495,6.3,High School,East,Female,Group_A,Adult,0
3150.27,0.1176,14.2,Bachelors,South,Male,Group_C,Adult,0
3268.53,0.2623,11.8,High School,Central,Male,Group_A,Young,0
4728.91,0.7002,4.9,Bachelors,North,Male,Group_A,Adult,0
5828.86,0.3157,18.5,High School,Central,Female,Group_B,Adult,1
5643.98,0.2803,6.7,High School,West,Female,Group_B,Adult,0
7432.31,0.3447,25.9,PhD,South,Female,Group_C,Senior,1
4946.82,0.2973,12.0,Bachelors,Central,Male,Group_A,Adult,1
10165.62,0.1479,6.6,High School,East,Female,Group_C,Senior,1
4305.6,0.151,11.5,Masters,Central,Male,Group_B,Adult,0
19150.51,0.2871,2.8,Bachelors,East,Male,Group_A,Adult,1
6719.93,0.1409,3.0,Bachelors,Central,Male,Group_C,Adult,0
3201.65,0.5577,6.3,High School,Central,Female,Group_D,Adult,0
2877.14,0.1284,10.9,Bachelors,North,Female,Group_A,Adult,1
6255.62,0.0616,8.0,Masters,South,Female,Group_C,Young,0
4395.2,0.08,14.2,Masters,East,Male,Group_A,Young,1
7023.38,0.1484,19.1,Bachelors,Central,Male,Group_B,Young,1
6226.81,0.1978,9.9,High School,East,Female,Group_A,Young,0
4739.02,0.1991,8.5,Bachelors,Central,Female,Group_A,Adult,0
3218.28,0.0966,11.5,Bachelors,North,Female,Group_B,Senior,1
2304.4,0.2699,7.6,High School,West,Male,Group_A,Adult,0
3931.37,0.2821,21.6,High School,Central,Male,Group_B,Senior,0
7541.67,0.0608,20.8,Masters,West,Female,Group_A,Senior,1
5470.07,0.0819,12.3,PhD,North,Male,Group_A,Senior,1
2636.3,0.549,10.7,High School,West,Male,Group_A,Adult,0
5359.31,0.1711,6.1,Bachelors,Central,Male,Group_C,Adult,0
5959.0,0.5013,3.4,High School,Central,Male,Group_B,Young,0
3159.19,0.3913,10.7,High School,South,Female,Group_C,Adult,0
5307.43,0.1974,7.5,High School,North,Male,Group_A,Adult,0
5059.91,0.2547,10.7,High School,South,Male,Group_C,Adult,0
2775.3,0.0765,7.8,PhD,South,Female,Group_C,Adult,0
5877.54,0.3225,9.7,Bachelors,Central,Female,Group_A,Senior,0
6505.43,0.7816,7.8,Masters,East,Male,Group_A,Adult,0
8446.65,0.3337,6.8,Bachelors,North,Male,Group_A,Young,0
8324.02,0.3117,9.0,High School,Central,Female,Group_B,Adult,1
2468.0,0.0634,9.2,High School,North,Female,Group_A,Young,0
3075.08,0.16,7.2,High School,West,Female,Group_B,Adult,1
6358.31,0.0458,11.6,High School,North,Female,Group_B,Adult,1
6354.34,0.4046,8.4,High School,North,Male,Group_A,Adult,0
6358.35,0.2287,6.0,Bachelors,East,Male,Group_B,Adult,1
33737.52,0.4305,12.2,Masters,North,Male,Group_A,Adult,1
6538.38,0.2693,14.0,High School,West,Male,Group_C,Adult,1
8671.38,0.2025,13.5,High School,West,Female,Group_B,Adult,1
7918.85,0.4088,11.4,High School,Central,Male,Group_D,Adult,0
6806.92,0.491,11.9,Masters,East,Male,Group_A,Young,1
4198.01,0.1674,8.5,Bachelors,Central,Female,Group_C,Young,0
7183.09,0.4071,10.8,Bachelors,Central,Male,Group_D,Adult,0
3339.54,0.1717,7.1,Masters,North,Female,Group_A,Adult,0
4365.95,0.161,12.8,High School,Central,Female,Group_B,Adult,1
3855.74,0.394,10.6,High School,East,Female,Group_B,Adult,0
5120.14,0.122,7.6,Masters,North,Male,Group_B,Young,0
15635.97,0.128,9.2,High School,North,Female,Group_B,Senior,1
1932.11,0.0528,8.8,Bachelors,Central,Male,Group_A,Adult,0
6926.64,0.1505,11.9,Bachelors,Central,Female,Group_D,Young,1
2194.35,0.3066,12.6,Bachelors,North,Non-Binary,Group_A,Young,0
3881.72,0.3739,14.7,PhD,North,Male,Group_A,Adult,1
8471.61,0.2145,8.4,PhD,Central,Male,Group_C,Adult,1
5075.3,0.3061,12.2,High School,South,Male,Group_B,Adult,0
2867.3,0.199,5.2,High School,South,Male,Group_C,Adult,0
3436.98,0.4818,9.4,Masters,North,Male,Group_C,Adult,0
6903.6,0.6484,9.2,PhD,East,Female,Group_A,Adult,1
3411.19,0.1807,9.3,High School,North,Female,Group_B,Adult,0
5476.54,0.312,12.4,High School,Central,Male,Group_B,Senior,0
5028.04,0.4676,7.3,High School,South,Female,Group_C,Adult,0
3548.21,0.4072,13.0,High School,Central,Male,Group_D,Senior,1
14356.7,0.1739,5.8,Masters,Central,Female,Group_C,Adult,1
6747.72,0.4521,19.2,High School,North,Female,Group_A,Adult,0
1785.46,0.1073,11.7,Masters,West,Male,Group_B,Adult,1
5395.0,0.2197,7.9,High School,North,Female,Group_B,Young,0
3530.19,0.5086,7.1,Bachelors,South,Female,Group_A,Young,0
7526.74,0.1207,6.7,High School,West,Male,Group_B,Adult,1
3306.81,0.1567,11.7,High School,North,Female,Group_D,Young,0
4640.75,0.3613,9.5,Bachelors,Central,Female,Group_B,Young,0
6326.44,0.369,11.2,No Degree,Central,Male,Group_A,Adult,1
7577.04,0.3829,8.8,Masters,South,Male,Group_B,Senior,1
2696.88,0.0256,6.4,Masters,East,Female,Group_B,Young,0
4157.83,0.2074,7.8,Bachelors,Central,Female,Group_C,Adult,0
3875.88,0.2416,5.8,Bachelors,South,Female,Group_A,Adult,0
3545.15,0.3747,3.3,High School,East,Male,Group_B,Adult,0
11881.37,0.0203,8.2,Bachelors,East,Male,Group_B,Adult,1
6017.88,0.1698,13.5,PhD,North,Female,Group_C,Young,1
2616.41,0.7545,14.7,High School,East,Male,Group_A,Adult,0
7777.04,0.4757,10.2,No Degree,North,Female,Group_B,Senior,0
14201.15,0.1457,18.1,High School,South,Female,Group_C,Adult,0
8235.69,0.2902,8.4,High School,Central,Female,Group_B,Young,0
2299.2,0.1493,10.3,No Degree,South,Female,Group_C,Adult,0
3857.92,0.5562,9.2,Bachelors,Central,Female,Group_B,Adult,0
9259.97,0.2278,10.5,Bachelors,North,Male,Group_A,Young,1
3450.12,0.1122,10.8,Bachelors,Central,Male,Group_D,Young,0
6135.89,0.2183,13.1,High School,East,Male,Group_A,Senior,1
7239.57,0.3663,11.9,Bachelors,West,Male,Group_C,Adult,1
3091.88,0.3962,4.9,High School,East,Non-Binary,Group_B,Young,0
4770.65,0.2174,4.9,Bachelors,East,Male,Group_A,Adult,1
972.01,0.4016,4.3,Masters,West,Male,Group_D,Young,0
2944.83,0.1862,14.8,Bachelors,North,Male,Group_A,Adult,0
4331.7,0.6461,14.5,Masters,South,Female,Group_C,Adult,0
2633.6,0.3379,9.1,High School,North,Male,Group_A,Senior,0
11116.72,0.2505,14.5,Masters,North,Male,Group_A,Adult,1
2404.1,0.0855,12.9,Bachelors,East,Male,Group_A,Young,1
3944.11,0.4909,15.1,High School,South,Male,Group_C,Adult,0
5246.78,0.7721,9.9,Bachelors,Central,Male,Group_A,Adult,0
10103.49,0.0787,9.6,No Degree,South,Female,Group_A,Senior,1
2397.23,0.1343,14.4,High School,East,Female,Group_B,Adult,0
8791.86,0.2423,12.3,No Degree,North,Male,Group_C,Young,1
4939.98,0.2128,12.1,PhD,North,Male,Group_D,Adult,0
3008.65,0.2648,14.6,High School,Central,Male,Group_A,Adult,0
6192.24,0.324,12.6,High School,North,Male,Group_A,Adult,1
5429.11,0.6344,4.9,Bachelors,Central,Male,Group_A,Young,0
3640.56,0.0788,7.3,Masters,East,Female,Group_B,Adult,0
5089.33,0.5518,5.4,Bachelors,West,Male,Group_D,Adult,1
4053.53,0.1488,6.2,High School,North,Female,Group_A,Young,0
5201.79,0.502,8.7,High School,North,Male,Group_A,Adult,0
6843.57,0.2167,11.6,Masters,East,Male,Group_B,Adult,1
10861.81,0.3242,5.6,No Degree,South,Female,Group_C,Young,0
2646.76,0.1922,8.4,High School,East,Male,Group_A,Adult,1
14278.59,0.0934,9.2,Bachelors,East,Male,Group_A,Young,1
1851.88,0.2894,12.7,High School,East,Female,Group_A,Adult,0
4555.58,0.2701,6.7,Masters,West,Female,Group_B,Adult,1
6595.6,0.3616,10.8,High School,South,Female,Group_C,Senior,0
5656.13,0.361,9.5,High School,West,Male,Group_A,Adult,0
3599.86,0.4074,12.7,Bachelors,North,Female,Group_B,Adult,0
4429.04,0.5721,5.2,High School,West,Male,Group_A,Senior,0
3841.04,0.249,5.9,PhD,North,Female,Group_C,Young,1
3660.36,0.116,12.0,No Degree,West,Female,Group_A,Young,0
7516.09,0.4089,3.6,High School,North,Male,Group_B,Young,0
5875.27,0.3957,13.7,Bachelors,East,Male,Group_A,Adult,1
3475.68,0.4816,15.0,High School,East,Female,Group_B,Adult,0
7706.35,0.2851,5.3,Bachelors,North,Female,Group_B,Adult,1
5731.03,0.2067,11.9,High School,Central,Male,Group_D,Adult,1
7379.28,0.3684,6.6,High School,North,Non-Binary,Group_B,Adult,0
6733.26,0.1293,6.8,Masters,East,Female,Group_B,Young,0
3247.05,0.1078,8.1,High School,South,Male,Group_C,Adult,0
3714.17,0.2707,2.7,Bachelors,South,Male,Group_C,Adult,0
7141.28,0.5735,13.7,Bachelors,East,Female,Group_A,Young,0
6668.73,0.4149,18.2,High School,Central,Female,Group_D,Adult,0
4863.67,0.4444,8.0,Bachelors,West,Female,Group_D,Adult,0
5211.71,0.0892,9.0,No Degree,Central,Female,Group_A,Senior,0
9309.89,0.3544,15.5,No Degree,West,Male,Group_A,Adult,1
3656.33,0.2314,10.4,High School,West,Female,Group_B,Adult,0
6461.06,0.2226,23.4,High School,East,Male,Group_B,Adult,1
4442.19,0.1539,7.3,Bachelors,East,Male,Group_B,Adult,1
4407.93,0.4064,11.7,Masters,East,Female,Group_D,Adult,0
8513.33,0.5378,8.4,PhD,West,Male,Group_D,Adult,0
7425.74,0.464,17.0,No Degree,Central,Female,Group_A,Young,0
7381.67,0.0804,6.8,No Degree,East,Male,Group_B,Adult,1
9440.27,0.31,3.6,Bachelors,East,Female,Group_B,Adult,1
4966.66,0.4857,10.1,High School,West,Female,Group_B,Adult,1
6911.74,0.0109,6.7,High School,East,Male,Group_B,Adult,1
4208.52,0.0474,11.9,High School,Central,Female,Group_A,Young,0
5779.56,0.0278,8.0,High School,Central,Male,Group_A,Young,1
4605.14,0.1053,18.6,Masters,North,Male,Group_B,Adult,1
5159.0,0.2031,8.5,Masters,East,Female,Group_A,Adult,1
6618.2,0.0938,18.0,PhD,East,Non-Binary,Group_D,Young,1
3264.59,0.1786,9.0,High School,Central,Female,Group_B,Adult,0
13991.34,0.1932,14.9,High School,North,Female,Group_B,Adult,1
2972.0,0.302,13.5,Bachelors,South,Female,Group_C,Adult,0
2678.21,0.2981,8.3,High School,South,Female,Group_A,Adult,0
8769.68,0.1853,6.4,PhD,West,Female,Group_B,Young,1
7301.47,0.1928,7.3,High School,West,Male,Group_D,Adult,0
6714.74,0.5829,9.4,Bachelors,West,Male,Group_B,Young,0
6728.94,0.1754,19.8,Masters,South,Female,Group_C,Senior,1
4884.77,0.385,7.3,High School,North,Female,Group_D,Young,0
3138.1,0.6055,14.8,Masters,South,Female,Group_C,Senior,0
5104.63,0.4274,5.9,Bachelors,North,Male,Group_B,Senior,1
3503.15,0.2162,21.9,High School,East,Female,Group_B,Adult,1
8002.9,0.2463,13.7,Bachelors,Central,Non-Binary,Group_D,Adult,1
4566.36,0.299,8.3,Bachelors,North,Male,Group_B,Senior,0
3252.73,0.0726,6.1,Bachelors,Central,Male,Group_A,Senior,0
4185.19,0.2103,10.6,High School,Central,Male,Group_C,Adult,0
6041.85,0.2718,29.2,Bachelors,East,Female,Group_D,Young,1
3707.59,0.2508,4.5,No Degree,North,Female,Group_A,Adult,0
3258.07,0.3289,15.3,High School,West,Male,Group_C,Adult,0
5551.61,0.2815,8.2,High School,South,Female,Group_C,Adult,0
5555.16,0.1771,18.5,High School,Central,Male,Group_B,Adult,1
3814.36,0.3963,10.3,Masters,North,Female,Group_B,Adult,1
3883.46,0.3285,4.1,PhD,South,Female,Group_B,Adult,0
5519.4,0.1781,13.5,Bachelors,East,Female,Group_D,Young,1
2382.62,0.5106,8.4,Bachelors,Central,Female,Group_A,Young,0
2431.51,0.4112,4.3,Bachelors,West,Female,Group_A,Adult,0
3431.59,0.2463,4.1,High School,Central,Female,Group_B,Senior,0
4417.27,0.1232,13.2,No Degree,North,Male,Group_B,Adult,1
5741.37,0.6097,7.9,No Degree,Central,Male,Group_B,Adult,0
10277.15,0.4425,9.8,High School,East,Female,Group_B,Adult,0
7546.43,0.2525,4.1,Masters,East,Female,Group_A,Adult,0
4537.04,0.1507,6.3,High School,East,Male,Group_B,Young,1
4868.26,0.4363,11.3,High School,North,Female,Group_B,Adult,0
2977.19,0.1607,2.9,High School,West,Male,Group_C,Young,0
4869.48,0.2691,8.5,Masters,East,Female,Group_D,Adult,1
4254.24,0.2908,12.0,High School,South,Male,Group_C,Adult,0
5775.38,0.3155,8.0,Bachelors,West,Female,Group_A,Young,1
3249.92,0.3714,21.3,No Degree,North,Non-Binary,Group_B,Adult,0
6372.03,0.1426,9.2,Bachelors,West,Female,Group_A,Young,1
10576.28,0.1122,11.0,Masters,South,Female,Group_C,Adult,1
4654.64,0.2944,13.5,Masters,North,Male,Group_B,Adult,0
6008.05,0.2713,10.1,No Degree,Central,Male,Group_A,Adult,0
6940.1,0.4012,6.6,PhD,Central,Female,Group_C,Adult,0
4021.42,0.447,3.2,High School,East,Female,Group_A,Adult,0
5497.49,0.2786,9.9,No Degree,North,Male,Group_A,Senior,1
4945.81,0.3833,6.3,High School,South,Female,Group_C,Adult,0
5160.75,0.2425,5.1,Masters,West,Male,Group_D,Adult,1
3339.23,0.098,2.0,Masters,Central,Male,Group_D,Young,0
4975.37,0.2298,9.6,High School,East,Female,Group_B,Adult,0
6304.38,0.3931,13.4,Bachelors,East,Female,Group_A,Adult,0
10153.48,0.0328,11.3,Masters,South,Male,Group_A,Adult,1
7939.74,0.0439,9.4,Bachelors,West,Female,Group_A,Adult,1
14423.17,0.4784,6.3,Bachelors,North,Male,Group_A,Adult,1
3348.7,0.153,2.6,Bachelors,South,Female,Group_C,Young,0
7601.95,0.3964,11.2,Bachelors,North,Male,Group_A,Senior,1
5386.61,0.3669,2.2,High School,Central,Male,Group_D,Adult,0
14689.69,0.4118,6.7,High School,North,Female,Group_A,Young,1
3280.83,0.1439,15.3,Bachelors,Central,Male,Group_B,Young,1
3229.68,0.173,2.2,No Degree,East,Female,Group_A,Adult,0
3642.06,0.6923,6.2,High School,West,Female,Group_D,Young,0
1699.44,0.2311,11.1,High School,North,Female,Group_C,Senior,0
3778.65,0.5067,7.0,PhD,South,Female,Group_C,Adult,0
3362.48,0.3075,7.0,Bachelors,South,Female,Group_A,Adult,0
5298.59,0.2756,8.6,High School,West,Male,Group_D,Senior,0
5830.62,0.2284,3.0,High School,Central,Female,Group_B,Senior,0
12557.65,0.2372,4.4,Bachelors,West,Female,Group_B,Adult,1
7904.69,0.585,14.2,Masters,Central,Male,Group_A,Young,0
3683.24,0.2201,5.8,Bachelors,Central,Male,Group_A,Young,1
3136.28,0.2195,2.8,High School,West,Female,Group_B,Young,0
6285.24,0.2143,16.1,Masters,East,Male,Group_C,Adult,1
2539.91,0.2055,21.1,PhD,East,Female,Group_B,Adult,1
12280.03,0.2917,3.7,No Degree,East,Male,Group_A,Adult,1
8863.7,0.3041,8.7,No Degree,South,Male,Group_A,Adult,1
3887.07,0.3011,9.4,Bachelors,South,Male,Group_C,Adult,0
2086.9,0.4474,15.2,Bachelors,West,Female,Group_A,Adult,0
9671.48,0.137,5.0,No Degree,West,Male,Group_B,Adult,1
4641.21,0.0924,5.6,High School,East,Male,Group_D,Adult,0
9126.23,0.3804,12.4,No Degree,North,Female,Group_A,Adult,1
2214.51,0.1779,15.0,Masters,Central,Female,Group_B,Adult,0
3642.09,0.1595,5.0,High School,Central,Female,Group_A,Adult,0
4927.67,0.0549,23.5,High School,East,Male,Group_C,Senior,0
5031.58,0.2153,13.1,High School,South,Male,Group_C,Young,0
3924.39,0.2581,8.6,Masters,West,Non-Binary,Group_B,Senior,0
